idnum,province,replicat,sample,over,areacode,intdate,intnum,attempts,refusals,contacts,answers,intime,result,rn1,rn2,rn3,rn4,rn5,rn6,rn7,rn8,rn9,rn10,rn11,rn12,rn13,rn14,rsex,nadults,a1,a2,a2a,a2b,a3,a4,a4a,a4b,a6,a6a,a6b,a7,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,c1,c1ab,c2,c2ab,c3,c4,d1a,d1b,d1c,d1d,d1da,d1e,d1ea,d1f,d1fa,d2a,d2b,d2c,d2d,d2e,d2f,d2g,d2h,d2i,d3a,d3b,d3c,d3d,d3e,d3f,d3g,d3h,d4a,d4b,d4c,d4d,d4e,d4f,d4g,d4h,d5a,d5b,d5c,d5d,d5e,d5f,d5g,d5h,d6a,d6b,d6c,d7a,d7b,d7c,d8a,d8b,d8c,d9,d9a,d10a,d10b,d10c,d10d,d10e,d10f,d10g,d11a,d11b,d11c,d11d,d12,d13,d14,d15,e1,e1a,e1b,e2,e2a,e2b,f1a,f1b,f1c,f2a,f2b,f2c,f3,g1,g1ab,g2,g3,g3ab,h1a,h1b,h1c,h1d,h1e,h1f,h1g,h2a,h2b,h2c,h2d,h2e,h2f,h2g,h3,h4a,h4b,h4c,h4d,h4e,h4f,h4g,h5,h5a,i1,i2,i3,i4,j1,j1ab,j2,j2a,j2b,j3,j3a,j3b,j4,k1,k1a,k1b,k1c,k2,k2a,k2b,k2c,l2,l2a1,l2a2,l2a3,l2b1,l2b2,l3,l4a,l4b,l4c,l4d,l5,l6a,l6b,l7,l8,l9,l10,l11,l12,l12a,l13,l14,m1,m2,n1,n2,n3,n4,n5,n6,n7,n8,n8a,n9,n10,n11,n11a,n12,n13,n14,n15,n16,n17,n18,n19,n20,intlang,interest,length,a5a,a5b,a5c,a5d,l1a,l1b,l1c,l1d,xprov,xreplic,xsample,xover,xareacod,xintdate,xintnum,xattempt,xrefusal,xcontact,xanswer,xintime,xresult,xrn1,xrn2,xrn3,xrn4,xrn5,xrn6,xrn7,xrn8,xrn9,xrn10,xrn11,xrn12,xrn13,xrn14,xrsex,xa1,xa2,xa3,xa5a,xa5b,xa6a,xa6b,xa7a,xa7b,xa8a,xa8b,xa9a,xa9b,xb1,xb2,xb2a,xb2b,xb3a,xb3b,xb4,xb4a,xb5,xb5a,xc1,xc2,xc2a,xc3,xc3a,xc4,xc4a,xc5,xc5a,xc5b,xc6,xc6a,xc7,xc7a,xe1a,xe1b,xe1c,xe1d,xe1e,xe1f,xe2a,xe2b,xe2c,xe2d,xe2e,xe2f,xe2g,xe2h,xe2i,xf2,xf3,xf4a,xf4b,xf5,xf6,xf7,xf8,xg1,xg1a,xg1b,xg1c,xg1d,xg2a,xg2b,xg2c,xg2d,xg3a,xg3b,xg3c,xg3d,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xi1a,xi1b,xi1c,xi2a,xi2b,xi2c,xi3a,xi3b,xi3c,xj1a,xj1b,xj1c,xj2a,xj2b,xj2c,xj2d,xj3a,xj3b,xj3c,xj3d,xj4a,xj4b,xj4c,xj4d,xj5a,xj5b,xj5c,xj6a,xj6b,xj7a,xj7b,xk1,xk2,xk3,xk4,xk5,xk6,xk7,xk8,xk9,xk10,xl1a,xl1b,xl1c,xl2a,xl2b,xl2c,xl2d,xl2e,xl3,xl4,xl5,xl6,xl7,xl8a,xl9a,xl10a,xm1,xm2,xm3,xm4,xn1,xn2,xinteres,xlength,xintlang,xa4a,xa4b,xa4c,xa4d,xf1a,xf1b,xf1c,xf1d,mailid,zintlang,qa1,qa2,qa3,qa4,qa5,qa6,qa7,qa8,qa9,qa10,qa11,qa12,qa13,qb1,qb2,qb3,qb4,qb5,qb6,qb7,qb8,qb9,qb10,qb11,qb12,qb13,qb14,qb15,qb16,qb17,qc1,qc2,qc3,qc4,qc5,qc6,qc7,qc8,qc9,qc10,qc11,qc12,qc13,qc14,qc15,qc16,qc17,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qe1,qe2,qe3,qe4,qe5,qe6,qe7,qe8,qe9,qe10,qe11,qe12,qe13,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qf11,qg1,qg2,qg3,qg4,qh1,qh2,qh3,qh4,qh5,qh6,qh7,qh8,qh9,qh10,qh11,qh12,zrsex,yrbirth,comments,inpre,inpost,inmail,intype,link,blish81,pinpor81,franco,wt1,wt2,wt3,wt4,wt5,wt6,wt7
7345,9,25,22,0,604,102988,2,2,0,1,1,30,1,1,1,0,1,0,1,1,23,0,5,0,1,1,1,1,2,2,7,1,2,5,7,25,2,1,9,8,3,8,,,,,8,,8,,,3,,8,,3,8,9,9,9,9,,9,,9,,,,,999,999,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,1,2,,3,,,999,999,999,999,999,999,8,1,2,8,8,,8,,,,,,,3,8,8,8,8,8,8,8,5,8,8,8,8,8,8,5,,9,,,,3,,8,,,3,,,8,1,8,,,5,,,,8,,,,,,8,,8,,,3,,5,1,8,8,8,8,8,,8,8,5,5,1925,1,98,,5,4153,5,1,,5,,2,,4,9,1954,13,5,5,5,99,0,1,1,5,98,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,34.11,12,2,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
7351,5,25,23,0,519,102988,5,2,0,1,2,31,1,1,0,1,1,0,0,1,8,5,9,5,0,0,1,5,4,2,3,5,2,5,2,21,4,1,3,1,2,1,3,,1,1,5,,5,,,3,,8,,3,8,1,1,1,1,3,1,3,1,3,10,45,65,20,25,40,,,,2,4,4,4,2,2,2,4,4,4,2,2,2,2,4,2,2,1,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,196,1,1,1,1,2,,3,,,998,998,998,50,35,50,1,3,,1,3,4,1,8,8,8,8,8,8,4,4,1,4,2,4,5,5,2,4,4,2,4,4,1,5,,4,,1,3,5,4,5,,5,5,,5,5,5,,,,1,1,0,,5,,,,,3,5,,1,,,5,,1,1,1,5,5,5,3,8,8,5,1,5,1970,1,5,5,1,3314,5,1,,5,5,7,,,1,,0,3,3,1,9,0,1,1,20,12,23,,,12,,,,5,25,23,0,519,10789,5,5,0,2,4,20,1,1,0,1,1,0,0,1,8,5,9,5,0,0,1,5,2,2,3,1,98,5,,1,98,5,,5,,1,2,5,5,,,8,,1,2,1,5,,1,4,1,2,1,3,8,5,,,,1,1,1,1,1,1,20,40,60,30,60,70,30,60,60,5,5,,1,1,5,3,5,1,1,2,1,4,2,2,1,2,1,1,2,1,998,998,60,70,60,50,60,80,60,60,30,2,1,2,2,1,1,2,2,2,5,5,,5,,,,5,,,,5,,,,7,,,5,,5,,1,1,3,1,1,1,1,1,3,3,5,1,,3,8,2,3,3,5,3,3,,,3,1,3,145,1,1,1,1970,1,3,20,1,12,1,23,,12,,,,1404,1,3,3,2,1,2,3,1,3,1,2,1,1,2,4,1,3,3,2,4,4,3,4,4,4,2,3,2,4,1,2,1,3,1,1,8,8,3,3,2,1,8,2,2,2,2,1,2,2,2,2,8,8,1,1,1,2,1,3,1,1,3,2,1,2,3,2,1,3,2,8,2,2,1,1,2,2,1,8,1,1,1,3,1,9,11,2,8,10,3,5,4,7,1,11,6,5,1970,,1,1,1,3,4,44.23,4,2,3.11760682513519,2.18899358218773,,,2.95621852046024,1.98173514857938,
7353,7,25,23,0,306,102988,27,2,0,1,1,44,1,1,1,0,0,1,1,1,7,4,5,3,1,4,1,1,2,4,0,,,5,0,,,5,8,8,4,5,,,,,5,,5,,,5,4,8,,3,8,4,4,4,8,,8,,8,,,,,998,998,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,3,,5,1,2,,998,998,998,50,40,75,5,5,4,3,8,,8,,,,,,,0,,,,,,,8,5,8,8,8,8,8,8,5,,4,,5,,8,,8,,,3,,,4,8,,,,8,,,,8,,,,,,1,8,,,,1,,3,8,5,1,8,8,8,,1,3,5,5,1934,1,2,5,1,7513,5,1,,1,1,1,8,0,1,,22,3,3,5,3,1,1,1,15,98,,,,98,,,,7,25,23,0,306,10889,63,7,0,1,3,26,1,1,1,0,0,1,1,1,7,4,5,3,1,4,1,1,2,2,5,1,1,5,,5,,5,,5,,5,,,,1,1,8,,1,2,5,5,,5,,1,1,5,8,8,5,,,,3,3,3,3,4,4,80,50,50,80,50,50,80,,,8,8,,3,1,1,5,1,1,1,1,1,1,2,2,1,1,2,2,1,2,80,80,80,80,998,80,80,80,998,80,80,1,1,1,,,,,,,5,5,,5,,,,5,,,,5,,,,5,,,5,,5,,1,1,1,1,8,1,3,1,1,1,3,,1,4,8,8,8,8,1,2,3,,,1,3,3,998,1,5,5,1934,1,3,15,1,12,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,25.23,13,2,0.720506207964729,1.02659606023294,,0.985902162193614,0.679518636061866,1.02659606023294,
7355,9,25,23,0,604,102988,5,1,0,1,1,30,1,1,1,1,3,1,1,0,20,3,4,3,1,1,0,1,2,2,2,5,3,1,0,,,5,2,1,2,1,4,,4,,5,,5,,,1,2,5,4,5,1,3,3,3,1,2,1,3,5,,,,,30,30,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,1,1,5,1,1,1,1,5,5,,,,,280,5,5,,2,,,3,,,75,25,0,80,20,0,1,3,,5,5,,5,1,3,3,2,1,2,3,2,1,4,2,4,4,4,4,2,3,2,3,3,3,5,,4,,5,,5,4,1,5,,5,,5,4,5,,,,1,1,0,,5,,,,,3,1,,,,1,5,1,,1,1,5,5,5,1,,1,1,5,5,1956,1,9,5,1,8228,5,1,,5,5,1,8,7,1,,1,3,3,5,5,0,1,3,25,12,29,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,24.92,15,2,0.969479840056456,1.05445549509104,,,0.914328858408515,1.05445549509104,
7357,3,25,24,1,506,102988,55,3,0,1,2,56,1,1,2,1,3,1,0,0,18,5,10,2,0,0,1,1,2,3,7,1,3,1,7,0,1,1,2,3,1,1,2,,4,,1,2,1,2,,3,,8,,3,3,1,2,2,1,1,1,2,8,,10,75,25,40,80,25,0,80,,2,5,4,4,2,2,4,4,2,2,2,2,1,2,2,2,4,4,5,4,2,2,2,4,4,4,5,1,1,4,,,,1,2,1,1,1,1,1,1,,1,1,1,2,27,1,1,,1,1,,3,,,0,100,0,50,50,0,5,3,,1,5,,2,2,2,8,1,2,8,0,,,,,,,4,3,2,3,8,4,4,8,1,3,1,1,,,5,5,1,1,,5,,5,2,1,2,0,,5,,,,3,,,1,,,8,,,,3,5,,3,5,1,3,5,5,8,,1,1,5,5,1908,1,2,5,5,9175,5,1,,5,,2,,7,1,,8,1,1,1,1,0,2,1,30,18,12,4,1,12,,,,3,25,24,1,506,112488,10,2,0,1,2,52,1,1,2,1,3,1,0,0,18,5,10,2,0,0,1,1,1,2,3,1,1,1,1,5,,5,,1,4,1,2,1,1,,,2,1,1,2,1,5,,1,2,5,,1,2,3,5,,,,1,1,1,3,3,4,50,75,50,0,75,20,25,75,,8,1,,3,8,8,1,3,1,4,5,2,4,1,2,2,8,4,5,8,8,75,75,75,75,998,30,60,100,100,100,40,5,2,5,1,1,1,,,,5,5,,5,,,,5,,,,5,,,,5,,,1,5,1,2,3,3,3,8,3,3,3,3,3,3,5,3,,8,2,2,3,1,1,4,,1,1,1,3,3,27,1,1,1,1908,1,1,45,2,98,,,,12,,,,3135,2,1,2,2,2,2,1,1,1,1,1,1,2,3,3,2,4,4,1,3,2,3,2,3,3,3,3,4,4,4,3,2,1,1,1,2,1,2,8,2,1,3,1,2,2,8,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,3,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1908,,1,1,1,3,4,34.45,15,1,0.242237607830122,0.59103260897961,0.482086884340101,,0,0,0
7360,5,25,24,0,416,102988,59,4,0,3,3,51,1,1,0,0,3,1,2,1,32,5,1,5,1,2,0,1,1,3,7,1,3,5,7,8,2,1,2,8,1,1,3,,1,1,1,1,1,2,,5,4,8,,5,5,1,1,1,1,4,1,1,1,4,25,75,90,25,75,75,,75,,4,5,5,5,2,5,5,5,2,2,4,4,1,4,2,2,1,1,1,1,1,1,1,1,,,,4,1,1,,,,1,2,5,1,1,1,1,1,,1,5,5,4,136,5,1,1,3,,4,3,,,0,50,50,50,50,40,1,3,,3,5,,5,3,2,3,2,3,3,4,4,1,4,1,4,4,3,4,3,3,1,4,4,2,5,,8,,1,3,5,5,1,5,,1,1,,5,1,2,3,0,1,3,2,0,5,,,,5,,5,,,,5,3,3,,5,8,5,5,5,1,,1,3,1,5,1934,1,4,1,1,9311,5,1,,1,5,2,,0,14,1954,9,5,5,1,4,0,1,3,20,12,29,,,12,,,,5,25,24,0,416,120888,38,1,0,1,1,53,1,1,0,0,3,1,2,1,32,5,1,5,1,2,0,1,1,4,4,1,7,5,,5,,5,,5,,1,3,3,1,,,2,1,1,2,1,5,,5,,1,7,1,8,8,5,,,,1,1,1,3,2,3,0,50,75,0,60,75,998,75,998,5,5,3,,1,5,3,5,1,1,5,2,5,2,2,4,5,1,1,1,1,75,998,998,80,998,998,90,90,998,998,998,8,8,8,1,1,1,8,8,8,1,1,3,5,,,,5,,,,5,,,,5,,,1,1,5,,1,1,1,1,8,1,1,1,8,8,5,1,,4,1,1,4,1,1,3,3,,,1,1,1,136,5,1,1,1934,0,3,20,1,12,,,,12,,,,702,1,2,1,2,2,2,1,1,1,1,1,2,2,1,4,1,4,4,1,1,4,4,4,4,4,1,4,4,4,4,1,2,1,2,1,2,1,2,3,1,2,2,2,2,2,3,1,1,8,1,1,2,1,1,1,2,1,2,3,2,1,2,1,1,1,2,2,2,2,2,8,1,8,2,1,1,2,1,1,1,1,1,3,2,12,12,1,1,1,1,1,1,1,3,1,1,1,1934,1,1,1,1,3,4,40.73,10,2,0.7794017062838,0.547248395546925,,,0.739054630115067,0.495433787144842,
7361,5,25,24,0,519,103088,78,3,0,1,1,44,1,1,2,0,0,0,0,1,0,5,3,3,1,0,1,1,2,2,5,1,2,1,3,21,2,1,2,1,2,1,1,,2,1,1,1,1,1,,3,,3,,3,5,1,1,1,1,1,1,2,1,2,50,40,65,60,50,50,70,50,60,2,4,4,4,2,4,2,4,2,2,4,2,2,2,2,4,2,1,4,2,1,1,2,2,1,1,1,4,2,4,2,1,2,1,1,1,1,1,1,1,1,,1,1,1,1,141,1,5,1,1,1,,1,2,,100,50,0,100,50,0,1,1,2,3,1,2,3,8,8,2,3,8,8,2,4,2,3,2,4,3,4,3,8,2,4,2,8,4,5,,2,3,,,3,,1,1,,1,1,,2,5,,,,5,,,,1,,,3,,,1,1,,,,1,,1,1,1,5,5,5,5,,1,5,1,5,1953,1,6,5,1,5130,1,,,5,5,1,1,3,19,1969,24,3,3,1,5,2,1,1,7,12,10,26,,12,,,,5,25,24,0,519,10989,15,5,0,2,3,34,1,1,2,0,0,0,0,1,0,5,3,3,1,0,1,1,1,1,3,1,7,1,2,5,,5,,5,,1,1,3,4,,,1,2,1,2,1,1,5,1,1,1,3,1,2,3,5,,,,2,2,2,1,3,1,75,50,50,75,35,50,80,10,60,1,1,,3,1,3,3,5,1,2,2,1,2,2,2,2,2,1,2,2,2,55,65,65,75,80,40,80,90,50,65,6,1,1,1,4,1,2,1,1,1,5,5,,1,1,1,2,1,1,1,1,5,,,,5,,,5,,1,1,5,1,1,1,1,1,1,1,3,3,1,3,,3,3,3,4,2,5,2,3,,,1,3,3,114,1,5,1,1953,19,1,15,1,12,10,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,41.01,7,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
7364,8,25,24,0,403,102988,5,1,0,1,1,29,1,0,2,1,2,0,2,0,19,3,1,5,1,0,1,1,2,1,7,3,1,5,7,21,1,1,2,3,1,1,2,,1,1,1,2,1,6,,1,8,5,4,1,5,1,1,1,1,1,1,3,1,1,3,54,70,46,50,50,1,,50,1,5,2,5,1,5,2,5,1,1,2,1,1,2,4,3,1,2,2,2,1,1,1,2,5,1,5,,,,5,1,1,5,,,,,,,,,,,,,248,1,5,1,1,2,,3,,,50,0,0,50,50,0,1,1,2,3,5,,5,2,1,8,1,2,2,2,2,1,4,1,2,4,4,2,2,2,1,2,2,1,1,4,1,5,,,5,5,1,5,,3,,,4,1,1,0,,1,1,2,3,8,,,,,,1,,,5,,3,,1,5,3,5,1,5,3,5,5,1,1,5,1954,1,9,5,1,4199,5,3,3,5,5,1,2,2,1,,2,3,3,5,9,2,1,3,11,12,,,,12,,,,8,25,24,0,403,121088,76,2,0,1,2,26,1,0,2,1,2,0,2,0,19,3,1,5,1,0,1,1,1,1,1,1,7,5,,5,,5,,1,3,1,2,3,1,,,1,2,1,2,1,5,,1,5,1,7,1,2,8,1,1,5,,1,1,1,1,4,4,1,52,65,75,65,50,75,,,1,5,,1,5,1,8,5,1,1,5,2,5,1,2,5,1,1,1,2,2,95,65,85,52,52,48,52,95,75,52,52,2,1,2,,,,,,,5,5,,5,,,,1,1,5,,1,1,5,,5,,,1,1,5,,3,3,3,5,5,3,5,1,3,5,1,5,,2,1,8,4,2,1,2,5,,,1,1,3,248,1,1,1,1954,1,3,12,1,12,17,,,12,,,,703,1,1,3,2,1,1,3,3,3,1,2,3,1,2,2,2,4,4,3,3,1,3,3,4,4,1,2,1,3,2,2,2,3,3,1,2,1,3,3,1,3,3,2,3,2,1,1,1,2,2,1,1,1,8,2,2,3,3,3,3,3,2,2,3,3,1,2,1,1,2,8,1,8,1,2,2,2,1,8,2,1,2,2,1,8,12,10,7,9,6,5,2,3,4,1,11,1,1954,1,1,1,1,3,4,39.01,14,2,0.731678151689714,1.02176403771381,,1.00118925250958,0.690055039327017,1.02176403771381,
7372,5,25,25,0,705,102988,76,1,0,1,1,34,1,0,2,1,2,1,0,1,3,4,5,0,1,3,0,1,2,2,4,1,2,1,7,0,1,1,3,1,2,1,3,,1,1,1,3,1,3,,3,,3,,3,1,1,1,1,1,1,1,3,1,4,10,30,80,30,30,80,45,,,1,5,8,8,2,4,2,4,2,2,8,8,1,2,2,5,1,1,8,8,1,1,1,1,4,1,1,,,,,,,1,1,1,1,1,1,1,1,,5,5,5,,192,1,1,1,1,2,,3,,,70,25,50,60,60,40,1,3,,3,1,2,3,2,2,2,2,2,2,2,4,1,4,1,4,4,3,2,3,4,2,3,3,3,1,2,3,1,,,3,,1,5,,3,,,4,5,,,,5,,,,5,,,,,3,1,,,1,,1,5,,5,1,5,5,1,3,1,1,5,1,5,1947,1,5,8,1,7717,5,1,,1,1,1,2,2,7,1967,18,5,3,5,5,2,1,1,98,12,1,21,10,12,,,,5,25,25,0,705,121688,55,2,0,1,1,28,1,0,2,1,2,1,0,1,3,4,5,0,1,3,0,1,2,2,1,1,7,1,7,1,7,1,5,1,7,1,3,1,1,,,1,3,1,2,1,1,3,5,,1,5,1,3,1,1,3,1,3,2,2,2,2,3,2,40,35,75,40,45,75,45,25,75,1,1,5,,1,5,5,1,1,2,3,2,4,2,2,4,4,1,1,1,1,75,75,75,75,75,100,100,100,75,75,75,2,2,2,4,2,2,2,2,1,5,1,3,5,,,,1,5,1,3,1,5,5,,5,,,5,,1,3,1,1,1,1,1,1,1,1,1,1,5,3,,3,3,3,3,2,1,3,3,,,3,3,1,192,1,1,1,1947,7,1,20,1,12,1,22,,12,,,,704,1,3,1,2,2,3,2,1,1,1,3,3,2,2,3,3,4,4,4,4,2,3,3,4,4,2,3,3,3,2,2,1,3,3,3,2,1,1,3,3,2,3,2,3,1,3,1,3,2,2,1,2,1,8,2,1,2,3,3,2,1,2,2,3,3,3,3,1,3,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,11,12,3,10,6,7,,4,2,8,5,1,1,1947,,1,1,1,3,4,39.56,13,2,1.5588034125676,1.09449679109384,,,1.47810926023015,0.990867574289685,
7374,8,25,25,0,403,102988,5,1,0,1,1,36,1,1,2,0,3,0,2,0,5,2,1,0,0,1,1,5,2,1,7,1,2,1,7,3,2,1,2,3,2,1,4,,7,,1,1,1,1,,3,,3,,3,3,2,2,2,1,2,1,3,1,3,75,70,30,70,60,30,60,,,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,4,2,2,1,2,2,5,1,2,,,,,,,1,1,5,1,1,5,8,1,,5,5,5,,246,1,5,1,3,,4,5,,4,80,60,40,75,55,45,1,3,,3,5,,5,3,2,8,3,4,8,1,4,1,3,1,3,3,4,3,4,2,1,8,3,1,5,,1,5,,,1,2,5,,1,1,1,,2,5,,,,1,1,3,4,1,,,3,,,1,,,,1,3,,1,1,5,1,5,5,3,5,5,5,1,5,1919,1,6,1,5,4131,5,1,,5,,1,3,0,1,,8,3,3,5,4,0,1,1,15,12,1,4,,12,,,,8,25,25,0,403,121188,21,1,0,1,1,29,1,1,2,0,3,0,2,0,5,2,1,0,0,1,1,5,1,1,1,1,7,5,,5,,5,,5,,1,4,3,4,,,1,3,1,2,1,1,8,1,98,1,7,1,2,3,5,,,,3,3,3,3,3,3,75,65,50,75,60,60,60,40,40,1,5,,1,5,5,3,1,1,1,2,2,2,1,2,2,2,1,2,2,2,75,90,90,100,75,25,70,90,50,90,80,4,2,2,4,2,2,4,2,2,5,5,,5,,,,5,,,,5,,,,5,,,5,,1,4,3,1,3,1,3,3,5,3,3,3,1,1,,2,3,3,2,3,5,4,,1,2,1,1,1,246,5,5,1,1919,1,1,20,1,12,,,,18,,,,705,1,2,8,2,2,1,1,2,2,1,2,8,2,2,3,2,2,3,2,8,2,1,2,1,1,4,2,2,4,3,2,2,1,2,2,2,1,2,1,1,2,1,2,1,8,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,8,1,1,2,2,1,3,2,10,8,7,7,2,5,1,4,4,6,3,6,5,1919,1,1,1,1,3,4,40.28,9,2,0.731678151689714,1.02176403771381,,1.00118925250958,0.690055039327017,1.02176403771381,
7375,9,25,25,0,604,102988,16,3,0,1,1,31,1,0,1,1,3,1,2,0,19,2,8,5,0,1,1,1,1,3,0,,,5,0,,,1,3,8,3,1,3,,7,1,1,1,5,,,1,2,3,,3,5,3,3,3,8,,8,,1,4,,,,60,50,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,5,2,,,3,,,75,0,45,70,40,35,5,3,,3,5,,3,8,3,8,3,8,1,3,8,3,2,8,3,1,4,3,8,8,8,8,8,3,5,,3,3,,,8,,3,,,3,,,3,5,,,,1,8,,,5,,,,,3,1,,,,1,5,,1,8,1,1,8,5,8,,1,5,5,5,1913,3,4,5,5,9175,1,,,5,,1,2,0,1,,1,3,3,5,98,0,1,3,15,12,,,,30,,,,9,25,25,0,604,121188,5,1,0,1,1,24,1,0,1,1,3,1,2,0,19,2,8,5,0,1,1,1,2,5,5,5,,8,,8,,8,,8,,1,3,3,1,,,1,3,1,3,1,5,,1,3,1,3,5,3,2,5,,,,4,2,2,4,4,2,,50,75,25,50,60,,,55,1,5,,3,1,8,5,1,1,,,,,5,8,8,1,1,1,8,4,50,998,50,998,20,50,75,50,998,50,50,,,,,,,2,1,1,5,5,,5,,,,5,,,,1,5,8,,7,,,5,,5,,3,8,3,8,8,3,3,3,3,3,1,3,,2,8,3,3,2,5,3,1,,,,3,3,0,1,5,1,1913,1,3,20,1,98,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,2,34.45,15,2,0.484739920028229,0.527227747545523,,,0.457164429204257,0.527227747545523,
7377,3,25,26,0,506,102988,36,2,0,1,1,58,1,1,2,0,3,1,1,0,4,0,5,0,0,3,1,5,2,2,7,3,2,1,7,11,2,1,8,8,2,1,1,,2,1,1,1,1,1,,3,,3,,3,5,1,1,1,1,1,1,1,1,3,65,45,60,65,45,45,70,70,,1,2,2,1,1,2,1,1,2,2,2,4,2,2,4,3,1,1,2,1,1,1,3,1,2,3,1,1,8,1,,,,1,1,5,1,1,1,8,1,,5,5,5,,30,1,1,1,2,,,3,,,50,50,0,65,30,0,1,3,,3,1,2,5,8,3,8,3,3,3,2,3,2,3,2,4,3,3,2,2,3,3,3,2,3,5,,2,3,,,3,,1,1,,1,1,,2,1,1,0,,5,,,,1,,,3,,,1,,,,1,5,,1,1,1,1,1,1,3,1,1,1,1,5,1928,1,4,5,5,4175,5,1,,1,,1,4,4,1,,0,3,3,5,3,0,1,1,30,12,1,,,12,,,,3,25,26,0,506,120688,37,1,0,1,1,23,1,1,2,0,3,1,1,0,4,0,5,0,0,3,1,5,1,1,3,1,4,8,,5,,5,,5,,1,1,3,1,,,2,1,1,2,1,5,,1,1,1,1,1,8,8,5,,,,2,2,2,1,2,4,60,40,55,60,45,49,60,60,,1,1,,1,1,1,1,1,1,1,2,2,2,2,2,4,4,1,1,2,1,90,80,95,95,80,90,60,95,45,50,55,1,1,1,1,1,1,,,,1,5,,5,,,,1,1,5,,5,,,,5,,,5,,5,,3,3,3,3,3,3,3,3,3,3,1,3,,2,3,3,2,3,1,2,3,,,3,1,3,30,1,1,1,1928,1,1,20,1,12,,,,12,,,,706,1,1,2,2,2,1,1,2,2,1,2,1,1,1,3,3,3,1,1,3,1,1,2,1,1,3,3,3,3,3,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,5,7,8,9,10,6,4,2,1,,3,,5,1928,,1,1,1,3,4,33.25,12,2,0.575342750240651,1.40377181635112,1.14501293327536,,0.53628495671754,0.969697551688935,1.00286566925967
